"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"강남스포츠문화센터 대체육관",강남스포츠문화센터,체육관,법정 공휴일(일요일 일부 정상운영),06:00,22:00,06:00,18:00,Y,1,60000,1,60000,30,1058.79,이동식 농구대 2대+고정식 농구대 6대+배드민턴 네트 8개,전화+방문,,서울특별시 강남구 밤고개로1길 52,서울특별시 강남구 수서동 718,서울특별시 강남구 도시관리공단,체육사업부,02-2176-0801,http://life.gangnam.go.kr,37.48900105,127.105274,2023-08-23
"구민체육관",구민체육관,체육관,일+법정 공휴일,06:00,22:00,06:00,18:00,Y,1,50000,1,50000,30,636,이동식 농구대 2대+배드민턴 네트 5개,전화+방문,,서울특별시 강남구 개포로28길 47,서울특별시 강남구 개포동 1271,서울특별시 강남구 도시관리공단,체육사업부,02-2176-0871,http://life.gangnam.go.kr,37.47711586,127.051886,2023-08-23
"대진체육관",대진체육관,체육관,법정 공휴일,06:00,22:00,06:00,18:00,Y,1,50000,1,50000,25,540,이동식 농구대 2대+배드민턴 네트 5개,전화+방문,,서울특별시 강남구 개포로109길 62,서울특별시 강남구 개포동 13-1,서울특별시 강남구 도시관리공단,체육사업부,02-2176-0880,http://life.gangnam.go.kr,37.496045,127.0788531,2023-08-23
"봉은테니스장",봉은테니스장,테니스장,일부 법정 공휴일,06:00,22:00,06:00,22:00,Y,1,6000,1,6000,16,2000,테니스 코트 4면,전화+방문+온라인(일부),,,서울특별시 강남구 삼성동 75,서울특별시 강남구 도시관리공단,체육사업부,02-2176-0890,http://life.gangnam.go.kr,37.51391154,127.055456,2023-08-23
"매봉산실내배드민턴장",매봉산실내배드민턴장,배드맨턴장,월+설 연휴+추석연휴,06:00,22:00,06:00,22:00,Y,1,2000,1,2000,16,638.66,배드민턴 코트 4면+실외 농구장 1면,전화+방문,,서울특별시 강남구 남부순환로 2711,서울특별시 강남구 도곡동 204,서울특별시 강남구 도시관리공단,체육사업부,02-2176-0885,http://life.gangnam.go.kr,37.486137,127.042414,2023-08-23
"포이테니스장",포이테니스장,테니스장,일부 법정 공휴일,06:00,22:00,06:00,22:00,Y,1,6000,1,6000,8,1308,테니스 코트 2.5면,전화+방문+온라인(일부),,,서울특별시 강남구 개포동 1274,서울특별시 강남구 도시관리공단,체육사업부,02-2176-0876,http://life.gangnam.go.kr,37.47556427,127.0554971,2023-08-23
"일원스포츠문화센터",일원스포츠문화센터,체육관+다목적실,일+법정 공휴일,06:00,22:00,09:00,18:00,Y,1,평일 6000+주말 7000,1,7000,16,341.739,라켓볼장 4코트+탁구대 3대,전화+방문,,"서울특별시 강남구 영동대로22, 커뮤니티지원시설 지하1층 일원스포츠문화센터",서울특별시 강남구 일원동 743,서울특별시 강남구 도시관리공단,체육사업부,02-2176-0984,http://life.gangnam.go.kr,37.49103363,127.0768776,2023-08-23
